Identifier,Index,Title,Description,DimensionGroupId
H008539,21,Angola,"Angola, Cabinda, Portugees-Afrika, Portugees West-Afrika.",7
H008540,22,Anguilla,,8
H008532,23,Antarctica,,11
H008541,24,Antigua en Barbuda,"Antigua en Barbuda, Antigua.",8
H008542,25,Argentinië,,8
H008543,26,Armenië,"Nieuw land ontstaan uit de opsplitsing van de Sovjet-Unie in 1991. 
In de registers die het CBS gebruikt wordt dit land pas sinds deze opsplitsing apart onderscheiden.
Voor bevolkingscijfers geldt: 
Tot en met 2020: alleen personen die na de opsplitsing zijn geboren worden tot deze migratieachtergrond gerekend.
Vanaf 2021: in de voorlopige cijfers worden alleen personen die na de opsplitsing zijn geboren tot deze migratieachtergrond gerekend. In de definitieve cijfers worden ook personen geboren in de voormalige Sovjet-Unie tot deze migratieachtergrond gerekend als hun geboorteplaats daar volgens de huidige landgrenzen ligt.
Voor bevolkingsontwikkeling geldt:
Tot en met 2019: alleen personen die na de opsplitsing zijn geboren worden tot deze migratieachtergrond gerekend.
Vanaf 2020: in de voorlopige cijfers worden alleen personen die na de opsplitsing zijn geboren tot deze migratieachtergrond gerekend. In de definitieve cijfers worden ook personen geboren in de voormalige Sovjet-Unie tot deze migratieachtergrond gerekend als hun geboorteplaats daar volgens de huidige landgrenzen ligt.",10
H008544,27,Aruba,"Nieuw land ontstaan door afscheiding van de Nederlandse Antillen op 1 januari 1986. Sinds die datum is Aruba een nieuw land binnen het Koninkrijk der Nederlanden. Met een 'Status aparte' binnen het Koninkrijk is Aruba een autonoom land. Aruba heeft een zelfstandig bestuur en is niet meer afhankelijk van Nederland. In de registers die het CBS gebruikt wordt dit land pas sinds de afscheiding apart onderscheiden. 
Voor bevolkingscijfers geldt:
Tot en met 2020: alleen personen die na de afscheiding zijn geboren worden tot deze migratieachtergrond gerekend.
Vanaf 2021: in de voorlopige cijfers worden alleen personen die na de afscheiding zijn geboren tot deze migratieachtergrond gerekend. In de definitieve cijfers worden ook personen geboren in de voormalige Nederlandse Antillen tot deze migratieachtergrond gerekend als hun geboorteplaats op dat eiland ligt.
Voor bevolkingsontwikkeling geldt:
Tot en met 2019: alleen personen die na de afscheiding zijn geboren worden tot deze migratieachtergrond gerekend.
Vanaf 2020: in de voorlopige cijfers worden alleen personen die na de afscheiding zijn geboren tot deze migratieachtergrond gerekend. In de definitieve cijfers worden ook personen geboren in de voormalige Nederlandse Antillen tot deze migratieachtergrond gerekend als hun geboorteplaats op dat eiland ligt.",8
H008545,28,Australië,"Australië, Christmaseiland, Cocoseilanden, Tasmanië.",11
H008546,29,Azerbeidzjan,"Nieuw land ontstaan uit de opsplitsing van de Sovjet-Unie in 1991. 
In de registers die het CBS gebruikt wordt dit land pas sinds deze opsplitsing apart onderscheiden.
Voor bevolkingscijfers geldt:
Tot en met 2020: alleen personen die na de opsplitsing zijn geboren worden tot deze migratieachtergrond gerekend.
Vanaf 2021: in de voorlopige cijfers worden alleen personen die na de opsplitsing zijn geboren tot deze migratieachtergrond gerekend.In de definitieve cijfers worden ook personen geboren in de voormalige Sovjet-Unie tot deze migratieachtergrond gerekend als hun geboorteplaats daar volgens de huidige landgrenzen ligt.
Voor bevolkingsontwikkeling geldt:
Tot en met 2019: alleen personen die na de opsplitsing zijn geboren worden tot deze migratieachtergrond gerekend.
Vanaf 2020: in de voorlopige cijfers worden alleen personen die na de opsplitsing zijn geboren tot deze migratieachtergrond gerekend. In de definitieve cijfers worden ook personen geboren in de voormalige Sovjet-Unie tot deze migratieachtergrond gerekend als hun geboorteplaats daar volgens de huidige landgrenzen ligt.",10
H008547,30,Bahama's,,8
H008548,31,Bahrein,,9
H008549,32,Bangladesh,,9
H008550,33,Barbados,,8
H008552,34,België,,10
H008553,35,Belize,"Belize, Brits Honduras.",8
H008554,36,Benin,"Benin, Dahomey.",7
H008555,37,Bermuda,,8
H006997,38,Bhutan,,9
H008557,39,Bolivia,,8
H008559,40,Bosnië-Herzegovina,"Nieuw land ontstaan uit de opsplitsing van Joegoslavië in 1992. 
In de registers die het CBS gebruikt wordt dit land pas sinds deze opsplitsing apart onderscheiden. 
Voor bevolkingscijfers geldt:
Tot en met 2020: alleen personen die na de opsplitsing zijn geboren worden tot deze migratieachtergrond gerekend.
Vanaf 2021: in de voorlopige cijfers worden alleen personen die na de opsplitsing zijn geboren tot deze migratieachtergrond gerekend. In de definitieve cijfers worden ook personen geboren in het voormalige Joegoslavië tot deze migratieachtergrond gerekend als hun geboorteplaats daar volgens de huidige landgrenzen ligt.
Voor bevolkingsontwikkeling geldt:
Tot en met 2019: alleen personen die na de opsplitsing zijn geboren worden tot dit geboorteland gerekend.
Vanaf 2020: in de voorlopige cijfers worden alleen personen die na de opsplitsing zijn geboren tot dit geboorteland gerekend. In de definitieve cijfers worden ook personen geboren in het voormalige Joegoslavië tot deze migratieachtergrond gerekend als hun geboorteplaats daar volgens de huidige landgrenzen ligt.",10
H008560,41,Botswana,"Botswana, Bechuanaland.",7
H008562,42,Brazilië,,8
H008564,43,Brits Territorium in de Indische Oceaan,,7
H008565,44,Britse Maagdeneilanden,,8
H008566,45,Brunei,,9
H008567,46,Bulgarije,,10
H008568,47,Burkina Faso,"Burkina Faso, Bovenvolta.",7
H008569,48,Burundi,"Burundi, Duits Oost-Afrika, Urundi, Ruanda-Urundi.",7
H008570,49,Cambodja,,9
H008571,50,Canada,"Canada, Newfoundland.",8
H008794,51,Caribisch Nederland,"Nieuw land ontstaan uit de opsplitsing van de Nederlandse Antillen op 10 oktober 2010. Caribisch Nederland bestaat uit de openbare lichamen Bonaire, Sint Eustatius en Saba. Zij hebben een diepe band met Nederland en functioneren als bijzondere gemeente van Nederland. 
Voor de statistieken die het CBS over Nederland maakt wordt Caribisch Nederland als afzonderlijk land onderscheiden. In de registers die het CBS gebruikt wordt Caribisch Nederland pas sinds de ontbinding apart onderscheiden. 
Voor bevolkingscijfers geldt:
Tot en met 2020: alleen personen die na de ontbinding zijn geboren worden tot deze migratieachtergrond gerekend.
Vanaf 2021: in de voorlopige cijfers worden alleen personen die na de ontbinding zijn geboren tot deze migratieachtergrond gerekend. In de definitieve cijfers worden ook personen geboren in de voormalige Nederlandse Antillen tot deze migratieachtergrond gerekend als hun geboorteplaats op een van deze eilanden ligt.
Voor bevolkingsontwikkeling geldt:
Tot en met 2019: alleen personen die na de ontbinding zijn geboren worden tot dit geboorteland gerekend.
Vanaf 2020: in de voorlopige cijfers worden alleen personen die na de ontbinding zijn geboren tot dit geboorteland gerekend. In de definitieve cijfers worden ook personen geboren in de voormalige Nederlandse Antillen tot deze migratieachtergrond gerekend als hun geboorteplaats op een van deze eilanden ligt.",8
H008572,52,Caymaneilanden,,8
H008573,53,Centraal-Afrikaanse Republiek,,7
H008574,54,Chili,,8
H008575,55,China,"China, Tibet.",9
H008579,56,Colombia,,8
H008580,57,Comoren,,7
H008581,58,Congo,"Frans-Congo, Congo, Congo Brazaville.",7
H008582,59,Congo (Democratische Republiek),"Belgisch-Congo, Democratische Republiek Congo, Congo-Kinshasa, Zaïre.",7
H008583,60,Cookeilanden,,11
H008584,61,Costa Rica,,8
H008585,62,Cuba,,8
H008586,63,Curaçao,"Nieuw land ontstaan na de ontbinding van de Nederlandse Antillen per 10 oktober 2010. Sinds die datum is Curaçao een nieuw land binnen het Koninkrijk der Nederlanden. Met een ""Status aparte' binnen het Koninkrijk is Curaçao een autonoom land. Curaçao heeft een zelfstandig bestuur en is niet meer afhankelijk van Nederland. 
In de registers die het CBS gebruikt wordt Curaçao pas sinds de ontbinding apart onderscheiden. 
Voor bevolkingscijfers geldt:
Tot en met 2020: alleen personen die na de ontbinding zijn geboren worden tot deze migratieachtergrond gerekend.
Vanaf 2021: in de voorlopige cijfers worden alleen personen die na de ontbinding zijn geboren tot deze migratieachtergrond gerekend. In de definitieve cijfers worden ook personen geboren in de voormalige Nederlandse Antillen tot deze migratieachtergrond gerekend als hun geboorteplaats op dat eiland ligt.
Voor bevolkingsontwikkeling geldt:
Tot en met 2019: alleen personen die na de ontbinding zijn geboren worden tot deze migratieachtergrond gerekend.
Vanaf 2020: in de voorlopige cijfers worden alleen personen die na de ontbinding zijn geboren tot deze migratieachtergrond gerekend. In de definitieve cijfers worden ook personen geboren in de voormalige Nederlandse Antillen tot deze migratieachtergrond gerekend als hun geboorteplaats op dat eiland ligt.",8
H008587,64,Cyprus,,10
H008588,65,Denemarken,,10
H008589,66,Djibouti,"Djibouti, Frans-Somaliland, Frans Territ. Afars en Issa's.",7
H008590,67,Dominica,,8
H008591,68,Dominicaanse Republiek,,8
H008592,69,Duitsland,"Bondsrepubliek Duitsland, Duitse Democratische Republiek, Duitsland (oud), Saarland.",10
H008593,70,Ecuador,,8
H008594,71,Egypte,"Egypte, Verenigde Arabische Republiek.",7
H008595,72,El Salvador,,8
H008596,73,Equatoriaal-Guinea,"Equatoriaal-Guinea, Spaans-Guinee.",7
H008597,74,Eritrea,,7
H008598,75,Estland,"Onafhankelijk land van 1918-1940, viel na de Tweede Wereldoorlog tot 1991 onder de Sovjet-Unie en werd in 1991, na de opsplitsing van de Sovjet-Unie, opnieuw onafhankelijk. 
In de registers die het CBS gebruikt wordt dit land alleen tijdens de onafhankelijkheid (1918-1940 en sinds 1991) apart onderscheiden. 
Voor bevolkingscijfers geldt:
Tot en met 2020: alleen personen die tijdens de onafhankelijkheid zijn geboren worden tot deze migratieachtergrond gerekend.
Vanaf 2021: in de voorlopige cijfers worden alleen personen die tijdens de onafhankelijkheid zijn geboren tot deze migratieachtergrond gerekend. In de definitieve cijfers worden ook personen geboren in de voormalige Sovjet-Unie tot deze migratieachtergrond gerekend als hun geboorteplaats daar volgens de huidige landgrenzen ligt.
Voor bevolkingsontwikkeling geldt:
Tot en met 2019: alleen personen die die tijdens de onafhankelijkheid zijn geboren worden tot deze migratieachtergrond gerekend.
Vanaf 2020: in de voorlopige cijfers worden alleen personen die tijdens de onafhankelijkheid zijn geboren tot deze migratieachtergrond gerekend. In de definitieve cijfers worden ook personen geboren in de voormalige Sovjet-Unie tot deze migratieachtergrond gerekend als hun geboorteplaats daar volgens de huidige landgrenzen ligt.",10
H008830,76,Eswatini,"Nieuw land ontstaan na de naamswijziging van Swaziland per 19 april 2018.
Eswatini, Swaziland.",7
H008599,77,Ethiopië,"Ethiopië, Abessinië.",7
H008600,78,Faeröer-eilanden,,10
H008601,79,Falklandeilanden,,8
H007071,80,Federale Republiek Joegoslavië,"Nieuw land ontstaan uit de opsplitsing van Joegoslavië in 1991/'92 en opgehouden te bestaan na de naamswijziging in 2003. 
Nieuwe naam: Servië en Montenegro. 
 In de registers die het CBS gebruikt wordt dit land pas sinds de opsplitsing en tot de naamswijziging apart onderscheiden. 
Voor bevolkingscijfers geldt:
Tot en met 2020: alleen personen die na de opsplitsing en tot de naamswijziging zijn geboren worden tot deze migratieachtergrond gerekend.
Vanaf 2021: in de voorlopige cijfers worden alleen personen die na de opsplitsing en tot de naamswijziging zijn geboren tot deze migratieachtergrond gerekend. In de definitieve cijfers worden deze personen gerekend tot de migratieachtergrond die correspondeert met het land waar hun geboorteplaats volgens de huidige landgrenzen ligt.
Voor bevolkingsontwikkeling geldt:
Tot en met 2019: alleen personen die na de opsplitsing en tot de naamswijziging zijn geboren worden tot dit geboorteland gerekend.
Vanaf 2020: in de voorlopige cijfers worden alleen personen die na de opsplitsing en tot de naamswijziging zijn geboren tot dit geboorteland gerekend. In de definitieve cijfers worden deze personen gerekend tot de migratieachtergrond die correspondeert met het land waar hun geboorteplaats volgens de huidige landgrenzen ligt.",10
H008602,81,Fiji,,11
H008603,82,Filippijnen,,9
H008604,83,Finland,,10
H008605,84,Frankrijk,,10
H008606,85,Frans-Guyana,,8
H008608,86,Frans-Polynesië,,11
H008609,87,Gabon,,7
H008610,88,Gambia,,7
H008828,89,Gazastrook en Westelijke Jordaanoever,"Gazastrook en Westelijke Jordaanoever met inbegrip van Oost-Jeruzalem. 
In de registers die het CBS gebruikt wordt dit gebied vanaf juli 2019 apart onderscheiden. 
Voor bevolkingscijfers geldt:
Vanaf 2021: In de definitieve cijfers worden personen die in het voormalige Palestina of in Israël zijn geboren tot deze migratieachtergrond gerekend als hun geboorteplaats daar ligt.
Voor bevolkingsontwikkeling geldt:
Vanaf 2021: In de definitieve cijfers worden personen die in het voormalige Palestina of in Israël zijn geboren tot deze migratieachtergrond gerekend als hun geboorteplaats daar ligt.",9
H008611,90,Georgië,"Nieuw land ontstaan uit de opsplitsing van de Sovjet-Unie in 1991. 
In de registers die het CBS gebruikt wordt dit land pas sinds deze opsplitsing apart onderscheiden.
Voor bevolkingscijfers geldt: 
Tot en met 2020: alleen personen die na de opsplitsing zijn geboren worden tot deze migratieachtergrond gerekend.
Vanaf 2021: in de voorlopige cijfers worden alleen personen die na de opsplitsing zijn geboren tot deze migratieachtergrond gerekend. In de definitieve cijfers worden ook personen geboren in de voormalige Sovjet-Unie tot deze migratieachtergrond gerekend als hun geboorteplaats daar volgens de huidige landgrenzen ligt.
Voor bevolkingsontwikkeling geldt:
Tot en met 2019: alleen personen die na de opsplitsing zijn geboren worden tot deze migratieachtergrond gerekend.
Vanaf 2020: in de voorlopige cijfers worden alleen personen die na de opsplitsing zijn geboren tot deze migratieachtergrond gerekend. In de definitieve cijfers worden ook personen geboren in de voormalige Sovjet-Unie tot deze migratieachtergrond gerekend als hun geboorteplaats daar volgens de huidige landgrenzen ligt.",10
H008612,91,Ghana,"Ghana, Goudkust.",7
H008613,92,Gibraltar,,10
H008614,93,Grenada,,8
H008615,94,Griekenland,,10
H008616,95,Groenland,,8
H008617,96,Guadeloupe,,8
H008618,97,Guam,,11
H008619,98,Guatemala,,8
H008621,99,Guinee,,7
H008622,100,Guinee-Bissau,"Guinee-Bissau, Portugees-Guinee.",7
H008623,101,Guyana,"Guyana, Brits-Guyana.",8
H008624,102,Haïti,,8
H008626,103,Honduras,,8
H008627,104,Hongarije,,10
H008628,105,Hongkong,,9
H008629,106,Ierland,,10
H008630,107,IJsland,,10
H008631,108,India,"India, Brits-Indië, Frans-Indië, Goa, Kashmir, Portugees-Indië, Sikkim.",9
H008632,109,Indonesië,"Tot en met 20 mei 2002: Indonesië, Nederlands-Indië, Nederlands Nieuw-Guinea en Portugees-Timor. 
Vanaf 20 mei 2002: Indonesië, Nederlands-Indië, Nederlands Nieuw-Guinea. 
Portugees-Timor bestaat per 20 mei 2002 als zelfstandig land onder de naam Timor Leste.",9
H008633,110,Irak,,9
H008634,111,Iran,,9
H008635,112,Israël,"Israël, Palestina.
In de registers die het CBS gebruikt wordt Israël vanaf 1948 als land onderscheiden.
Voor bevolkingscijfers geldt:
Vanaf 2021: In de definitieve cijfers worden personen geboren in Israël of Palestina op basis van geboorteplaatsinformatie ofwel tot migratieachtergrond Israël ofwel tot migratieachtergrond Gazastrook en Westelijke Jordaanoever gerekend.
Voor bevolkingsontwikkeling geldt:
Vanaf 2020: In de definitieve cijfers worden personen geboren in Israël of Palestina op basis van geboorteplaatsinformatie ofwel tot migratieachtergrond Israël ofwel tot migratieachtergrond Gazastrook en Westelijke Jordaanoever gerekend.",9
H008636,113,Italië,,10
H008637,114,Ivoorkust,,7
H008638,115,Jamaica,"Jamaica, Britse Antillen, Brits Westindië, Windwardeilanden.",8
H008639,116,Japan,"Japan, Ryukyueilanden.",9
H008640,117,Jemen,"Jemen, Aden, Noord-Jemen, Zuidarabische Federatie, Zuid-Jemen.",9
H007072,118,Joegoslavië (oud),"Betreft het Joegoslavië van vóór de opsplitsing in 1991/'92. 
In de registers die het CBS gebruikt kwam dit land alleen tot de opsplitsing als actueel land voor. 
Voor bevolkingscijfers geldt:
Tot en met 2020: alleen personen die voor de opsplitsing zijn geboren worden tot deze migratieachtergrond gerekend.
Vanaf 2021: in de voorlopige cijfers worden alleen personen die voor de opsplitsing zijn geboren tot migratieachtergrond gerekend. In de definitieve cijfers worden deze personen gerekend tot de migratieachtergrond die correspondeert met het land waar hun geboorteplaats volgens de huidige landgrenzen ligt.
Voor bevolkingsontwikkeling geldt:
Tot en met 2019: alleen personen die voor de opsplitsing zijn geboren worden tot dit geboorteland gerekend.
Vanaf 2020: in de voorlopige cijfers worden alleen personen die voor de opsplitsing zijn geboren tot dit geboorteland gerekend. In de definitieve cijfers worden deze personen gerekend tot de migratieachtergrond die correspondeert met het land waar hun geboorteplaats volgens de huidige landgrenzen ligt.",10
H007069,119,(voormalig) Joegoslavië,"Betreft een samentelling van de landen die tot het grondgebied van het Joegoslavië van vóór 1991/92 behoorden. 
 
In 1991/'92 is Joegoslavië opgesplitst in de landen Bosnië-Herzegovina, Federale Republiek Joegoslavië, Kroatië, Macedonië en Slovenië. 
In 2003 is de naam 'Federale Republiek Joegoslavië' gewijzigd in 'Servië en Montenegro'. 
In 2006 is 'Servië en Montenegro' opgesplitst in 'Servië' respectievelijk 'Montenegro'. 
In 2008 heeft Kosovo zich afgesplitst van Servië.",5
H008643,120,Jordanië,"Jordanië, Transjordanië.",9
H008644,121,Kaapverdië,"Kaapverdië, Kaapverdische Eilanden.",7
H008645,122,Kameroen,"Kameroen, Brits-Kameroen, Frans-Kameroen.",7
H008646,123,Kanaaleilanden,,10
H008647,124,Katar,,9
H008648,125,Kazachstan,"Nieuw land ontstaan uit de opsplitsing van de Sovjet-Unie in 1991. 
In de registers die het CBS gebruikt wordt dit land pas sinds deze opsplitsing apart onderscheiden.
Voor bevolkingscijfers geldt: 
Tot en met 2020: alleen personen die na de opsplitsing zijn geboren worden tot deze migratieachtergrond gerekend.
Vanaf 2021: in de voorlopige cijfers worden alleen personen die na de opsplitsing zijn geboren tot deze migratieachtergrond gerekend. In de definitieve cijfers worden ook personen geboren in de voormalige Sovjet-Unie tot deze migratieachtergrond gerekend als hun geboorteplaats daar volgens de huidige landgrenzen ligt.
Voor bevolkingsontwikkeling geldt:
Tot en met 2019: alleen personen die na de opsplitsing zijn geboren worden tot deze migratieachtergrond gerekend.
Vanaf 2020: in de voorlopige cijfers worden alleen personen die na de opsplitsing zijn geboren tot deze migratieachtergrond gerekend. In de definitieve cijfers worden ook personen geboren in de voormalige Sovjet-Unie tot deze migratieachtergrond gerekend als hun geboorteplaats daar volgens de huidige landgrenzen ligt.",10
H008649,126,Kenia,"Kenia, Brits Oost-Afrika.",7
H008650,127,Kirgizië,"Nieuw land ontstaan uit de opsplitsing van de Sovjet-Unie in 1991. 
In de registers die het CBS gebruikt wordt dit land pas sinds deze opsplitsing apart onderscheiden.
Voor bevolkingscijfers geldt: 
Tot en met 2020: alleen personen die na de opsplitsing zijn geboren worden tot deze migratieachtergrond gerekend.
Vanaf 2021: in de voorlopige cijfers worden alleen personen die na de opsplitsing zijn geboren tot deze migratieachtergrond gerekend. In de definitieve cijfers worden ook personen geboren in de voormalige Sovjet-Unie tot deze migratieachtergrond gerekend als hun geboorteplaats daar volgens de huidige landgrenzen ligt.
Voor bevolkingsontwikkeling geldt:
Tot en met 2019: alleen personen die na de opsplitsing zijn geboren worden tot deze migratieachtergrond gerekend.
Vanaf 2020: in de voorlopige cijfers worden alleen personen die na de opsplitsing zijn geboren tot deze migratieachtergrond gerekend. In de definitieve cijfers worden ook personen geboren in de voormalige Sovjet-Unie tot deze migratieachtergrond gerekend als hun geboorteplaats daar volgens de huidige landgrenzen ligt.",10
H008651,128,Kiribati,"Kiribati, Canton en Enderbury, Gilberteilanden, Gilbert en Elice-Eilanden, Phoenixeilanden.",11
H008652,129,Koeweit,,9
H008653,130,Kosovo,"Nieuw land ontstaan door afsplitsing van Servië in 2008. 
In de registers die het CBS gebruikt wordt dit land pas sinds deze afsplitsing apart onderscheiden. 
Voor bevolkingscijfers geldt:
Tot en met 2020: alleen personen die na de afsplitsing zijn geboren worden tot deze migratieachtergrond gerekend.
Vanaf 2021: in de voorlopige cijfers worden alleen personen die na de afsplitsing zijn geboren tot deze migratieachtergrond gerekend. In de definitieve cijfers worden ook personen geboren in het voormalige Joegoslavië, de Federale Republiek Joegoslavië, Servië en Montenegro en Servië tot deze migratieachtergrond gerekend als hun geboorteplaats daar volgens de huidige landgrenzen ligt.
Voor bevolkingsontwikkeling geldt:
Tot en met 2019: alleen personen die na de afsplitsing zijn geboren worden tot deze migratieachtergrond gerekend.
Vanaf 2020: in de voorlopige cijfers worden alleen personen die na de afsplitsing zijn geboren tot dit geboorteland gerekend. In de definitieve cijfers worden ook personen geboren in het voormalige Joegoslavië, de Federale Republiek Joegoslavië, Servië en Montenegro en Servië tot deze migratieachtergrond gerekend als hun geboorteplaats daar volgens de huidige landgrenzen ligt.",10
H008654,131,Kroatië,"Nieuw land ontstaan uit de opsplitsing van Joegoslavië in 1991/'92. 
In de registers die het CBS gebruikt wordt dit land pas sinds deze opsplitsing apart onderscheiden. 
Voor bevolkingscijfers geldt:
Tot en met 2020: alleen personen die na de opsplitsing zijn geboren worden tot deze migratieachtergrond gerekend.
Vanaf 2021: in de voorlopige cijfers worden alleen personen die na de opsplitsing zijn geboren tot deze migratieachtergrond gerekend. In de definitieve cijfers worden ook personen geboren in het voormalige Joegoslavië tot deze migratieachtergrond gerekend als hun geboorteplaats daar volgens de huidige landgrenzen ligt.
Voor bevolkingsontwikkeling geldt:
Tot en met 2019: alleen personen die na de opsplitsing zijn geboren worden tot dit geboorteland gerekend.
Vanaf 2020: in de voorlopige cijfers worden alleen personen die na de opsplitsing zijn geboren tot dit geboorteland gerekend. In de definitieve cijfers worden ook personen geboren in het voormalige Joegoslavië tot deze migratieachtergrond gerekend als hun geboorteplaats daar volgens de huidige landgrenzen ligt.",10
H008655,132,Laos,,9
H008656,133,Lesotho,"Lesotho, Basutoland.",7
H008657,134,Letland,"Onafhankelijk land van 1918-1940, viel na de Tweede Wereldoorlog tot 1991 onder de Sovjet-Unie en werd in 1991, na de opsplitsing van de Sovjet-Unie, opnieuw onafhankelijk. 
 In de registers die het CBS gebruikt wordt dit land alleen tijdens de onafhankelijkheid (1918-1940 en sinds 1991) apart onderscheiden. 
Voor bevolkingscijfers geldt:
Tot en met 2020: alleen personen die tijdens de onafhankelijkheid zijn geboren worden tot deze migratieachtergrond gerekend.
Vanaf 2021: in de voorlopige cijfers worden alleen personen die tijdens de onafhankelijkheid zijn geboren tot deze migratieachtergrond gerekend. In de definitieve cijfers worden ook personen geboren in de voormalige Sovjet-Unie tot deze migratieachtergrond gerekend als hun geboorteplaats daar volgens de huidige landgrenzen ligt.
Voor bevolkingsontwikkeling geldt:
Tot en met 2019: alleen personen die die tijdens de onafhankelijkheid zijn geboren worden tot deze migratieachtergrond gerekend.
Vanaf 2020: in de voorlopige cijfers worden alleen personen die tijdens de onafhankelijkheid zijn geboren tot deze migratieachtergrond gerekend. In de definitieve cijfers worden ook personen geboren in de voormalige Sovjet-Unie tot deze migratieachtergrond gerekend als hun geboorteplaats daar volgens de huidige landgrenzen ligt.",10
H008658,135,Libanon,,9
H008659,136,Liberia,,7
H008660,137,Libië,,7
H008661,138,Liechtenstein,,10
